,0
CIA_08,moham al omari saudi apprehend pakistani polic peshawar januari omari badli wound time say shot attempt desert al qaeda insurg group taken refug near parachinar border omari place hospit recoveri encourag talk al qaeda activ among item inform omari reveal farooq train facil american presenc afghanistan shown photo variou person ask could identifi one photo taken peshawar januari show group four men omari said knew three sinc farooq train camp one man identifi badawi second identifi mamdouh al hazmi third identifi hasham omari could rememb first name omari said three member al qaeda
CIA_08,"{'person': ['mohamed al omari', 'badawi'], 'location': ['afghanistan', 'pakistan', 'afghanistan'], 'date': ['12 january 2003', '2001', '2 january, 2003'], 'organization': ['omari', 'al qaeda', 'omari', 'al qaeda', 'omari', 'omari', 'omari', 'al qaeda']}"
CIA_09,sourc report carat polish diamond trade organ repres rebel forc liberia assort weapon person acquir diamond organ identifi arab businessman done trade past person request diamond sent address panama citi panama gave panamico packag deliv ramundo ortiz address mark custom purpos art object commerci valu
CIA_09,"{'person': [], 'location': ['liberia', 'panama city', 'panama'], 'date': [], 'organization': []}"
CIA_10,respons queri associ omar mahmoud othman baker mosqu london mi respond inform man name omar hanif given employ othman mosqu period left uk year possibl afghanistan travel record show travel london heathrow islamabad februari return london decemb hanif hold valid british passport live appl nassau bahama employ chain hotel bahama work seashor hotel nassau occasion freeport star hotel freeport anoth name mention mi associ othman jamal al quso came uk yemen appli british citizenship refus repeat troubl law convict incit riot serv suspend sentenc record reveal left london heathrow flight chicago illinoi juli
CIA_10,"{'person': ['omar mahmoud othman', 'omar hanif', 'hanif', 'al quso'], 'location': ['london', 'uk', 'afghanistan', 'london', 'london', 'uk', 'yemen', 'london', 'chicago', 'illinois'], 'date': ['a year', '1999', 'february of 1999', 'december, 1999', '1993', '1998', '1996', 'one-year', 'july 17, 1999'], 'organization': []}"
CIA_11,hous sahibzada gul rd peshawar suspect al qaeda safe hous raid may pakistani intellig unfortun appar occup fled day howev mess left behind item interest one expir pakistani passport issu person name yasir salman item includ doctor stethoscop note taken arab legionella gastroenter note written arab result may project usa call topoff addit open envelop address arab badawi found behind cabinet one room hous final note written arab simpli state karachi march safrygin fund
CIA_11,"{'person': ['f. badawi'], 'location': [], 'date': ['15 may, 2003', 'the day before', '2002', 'march 10, 2003'], 'organization': ['al qaeda']}"
CIA_12,number bomb attempt casablanca may five attempt one succeed caus mass casualti four attempt fail bomber kill bomb believ action local individu may train al qaeda afghanistan person believ particip success bomb apprehend june name moham essabar interrog essabar ask reveal name particip even duress refus howev arrest carri note arab sign person name atmani one person interest name abdellah atmani resid casablanca life interview atmani becam clear part bomb may howev name brought attent atmani work load supervisor holland orang ship line offic dock casablanca holland orang ship make regular freight run casablanca varieti locat along east coast usa well place caribbean moroccan polic report keep atmani surveil
CIA_12,"{'person': ['mohamed essabar', 'a. atmani', 'abdellah atmani'], 'location': ['afghanistan', 'holland', 'the east coast', 'caribbean'], 'date': ['16 may, 2003', '18 june, 2003', '16 may, 2003'], 'organization': ['al qaeda']}"
CIA_13,june three men arrest voorburg straat amsterdam three men indonesian origin emigr netherland mid men arrest evid form plan destroy number jewish synagogu amsterdam place netherland one person identifi special interest us name establish riduan sungkar born kuala lumpur taken polic sungkar carri airlin ticket schiphol airport amsterdam chicago il connect flight lo angel ca departur date ticket june also carri dutch passport name omar evertt give address voorburg straat amsterdam addit small notebook contain sever name address two person locat lo angel area somad buckthorn st inglewood ca bafaba flaxton culver citi ca
CIA_13,"{'person': ['omar evertts', 'a. somad', 'y. bafaba'], 'location': ['amsterdam', 'netherlands', 'amsterdam', 'netherlands', 'kuala lumpur', 'amsterdam', 'chicago', 'los angeles', 'los angeles', 'st.', 'culver city'], 'date': ['20 june, 2003', 'the mid 1990s', '1974', '23 june, 2003'], 'organization': []}"
CIA_14,biograph inform request ramundo ortiz panama citi record reveal ortiz run busi deal art object well preciou stone known expert evalu diamond tanzanit busi locat panamico ave panama citi travel extens throughout central south america also known travel havana cuba mani occas known associ narcot traffic way appear quit prosper support mani local chariti also known busi varieti client africa middl east especi iran pakistan
CIA_14,"{'person': [], 'location': ['panama city', 'panama city', 'south america', 'havana', 'cuba', 'africa', 'the middle east', 'iran', 'pakistan'], 'date': [], 'organization': []}"
CIA_15,pakistani citizen volunt juli price provid inform happen former occup sahibzada gul rd peshawar could say knew went north like chitral ask provid inform previou occup would say knew al qaeda footnot stori juli inform found throat slit back alley peshawar
CIA_15,"{'person': [], 'location': [], 'date': ['15 july, 2003', '17 july'], 'organization': ['al qaeda']}"
CIA_16,base nsa report juli inform solicit rcmp regard activ derwish live tecumseh rd windsor ontario rcmp report person name fact satam derwish saudi use first name ronald sinc arriv canada derwish hold canadian passport derwish surveil recent rcmp associ suspect hezbollah member windsor detroit michigan derwish work ticket agent canada eastern airlin windsor get frequent trip low cost variou place usa travel recent newark nj chicago il columbu ohio citi serv canadian eastern airlin
CIA_16,"{'person': ['ronald'], 'location': ['rcmp', 'rcmp', 'canada', 'detroit', 'michigan', 'chicago', 'columbus', 'ohio'], 'date': ['1 july, 2003', '1992'], 'organization': ['derwish', 'derwish', 'hezbollah', 'canada eastern airlines', 'nj']}"
CIA_17,base nsa intercept report septemb inform request person name bugarov presum russian might contact pyotr safrygin vector institut moscow believ bori bugarov work scientist bioweapon vector year travel havana cuba yuri kalinin return moscow shortli thereaft seen sinc sourc russia say return cuba live havana work capac cuban govern
CIA_17,"{'person': ['gen.', 'yury kalinin'], 'location': ['moscow', 'havana', 'cuba', 'moscow', 'russia', 'cuba', 'havana'], 'date': ['12 september, 2003', 'the years 1986 and 1990', '1990'], 'organization': ['the vector institute']}"
CIA_18,inform request muslih odeh mention nsa report septemb mi report muslih odeh believ saudi british citizen saudi intellig report muslih odeh born jeddah last record live saudi arabia riyadh
CIA_18,"{'person': [], 'location': ['saudi arabia'], 'date': ['15 september, 2003', '1967', '1998'], 'organization': []}"
CIA_19,one men identifi photo taken peshawar januari mention cia report april mamdouh al hazmi person saudi known associ al qaeda recent obtain record reveal mamdouh al hazmi kill firefight american forc march near orgun afghanistan
CIA_19,"{'person': [], 'location': ['afghanistan'], 'date': ['2 january, 2003', '20 april, 2003', '12 march', '2003'], 'organization': ['cia', 'al qaeda']}"
CIA_20,paid sourc chitral said treat octob broken arm badawi refuge camp outsid chitral ask knew badawi sourc repli anoth refuge told doctor
CIA_20,"{'person': ['badawi', 'badawi'], 'location': [], 'date': ['about 2 october, 2003'], 'organization': []}"
CIA_21,queri regard cuban regist casablanca hotel carlo araneda havana cuba regist moroccan sand hotel octob check octob jose escalant bugarov havana cuba regist togeth sahara atlant hotel octob check octob arnoldo ramirez san cristob cuba regist sahara atlant hotel octob check octob
CIA_21,"{'person': ['carlos araneda', 'jose escalante', 'b. bugarov', 'arnoldo ramirez'], 'location': ['havana', 'cuba', 'havana', 'cuba', 'atlantic', 'san cristobal', 'cuba', 'atlantic'], 'date': ['19 october, 2003', '22 october, 2003', '21 october, 2003', '23 october, 2003', '18 october, 2003', '22 october, 2003'], 'organization': []}"
CIA_22,queri regard person pakistan regist casablanca hotel octob moroccan oasi hotel ali talib karachi octob abu adil karachi octob omar al banna peshawar octob nadia mahfouz peshawar octob ali mishal islamabad octob sahara atlant hotel abdel noufal peshawar octob ahmad miner karachi octob yasir salman karachi octob jamat syeed hyderabad octob moroccan sand hotel shukri azzam hyderabad nidal awad peshawar octob
CIA_22,"{'person': ['omar al banna', 'ahmad miner', 'shukri azzam'], 'location': ['pakistan', 'nadia', 'atlantic'], 'date': ['october, 2003', 'october', 'october', 'october', 'october', 'october', 'october', 'october', 'october', 'october'], 'organization': ['abu adil', 'ali mishal', 'yasir']}"
CIA_23,respons queri regard person avenu san martin santo domingo see nsa report novemb resid address list carlo moral moral work taxi driver autofleet taxi compani santo domingo record reveal moral appli dominican republ citizenship grant februari birth certif show born bueno air argentina march sourc took sever ride taxi driven moral say overheard moral speak fluent arab someon call use phone cab
CIA_23,"{'person': ['carlos morales'], 'location': ['argentina'], 'date': ['1 november, 2003', '2000', 'february of 2001', '4 march,', '1970'], 'organization': []}"
CIA_24,surveil omar hanif reveal travel nassau bahama cairo egypt decemb return decemb cairo photograph come shop rams cairo compani two men provid photo abl identifi one two men saeed hasham
CIA_24,"{'person': ['omar hanif'], 'location': ['bahamas', 'cairo', 'egypt', 'cairo', 'cairo'], 'date': ['20 december, 2003', '25 december, 2003'], 'organization': []}"
CIA_25,check activ ramundo ortiz reveal januari sent wire transfer cuban peso canal bank panama citi peopl bank havana cuba transfer account held jose escalant peopl bank
CIA_25,"{'person': ['jose escalante'], 'location': ['panama city', 'havana', 'cuba'], 'date': ['27 january, 2004'], 'organization': []}"
CIA_26,surveil continu omar hanif nassau bahama februari hanif took flight nassau miami fl board flight london arriv februari took connect flight karachi pakistan return rout februari karachi hanif stay resid nishtar rd hous surveil pakistani intellig
CIA_26,"{'person': ['omar hanif', 'hanif'], 'location': ['miami', 'london', 'karachi', 'pakistan', 'karachi'], 'date': ['4 february, 2004', '5 february', '7 february'], 'organization': []}"
CIA_27,februari mi request inform malaysian name ali sufaat report work caribbean cargo ship line caraca venezuela sourc could say sufaat work caribbean cargo intermitt report left caraca either cuba bahama known sufaat travel place work caribbean cargo
CIA_27,"{'person': ['ali sufaat'], 'location': ['caribbean', 'caracas', 'venezuela', 'caracas', 'cuba'], 'date': ['17 february'], 'organization': []}"
CIA_28,respons request inform holland orang ship line rout casablanca destin usa surround area ship line two freighter dutch courag orang queen regularli deliv cargo miami savannah norfolk usa ship also make deliveri santo domingo dominican republ caraca venezuela orang queen servic port usa dutch courag servic port dominican republ venezuela
CIA_28,"{'person': [], 'location': ['miami', 'norfolk', 'va.', 'caracas', 'venezuela', 'venezuela'], 'date': [], 'organization': ['holland orange shipping lines', 'ga']}"
CIA_29,news agenc report april cattl citi blagoveshchensk found foot mouth diseas one thousand cattl alreadi slaughter state emerg declar six district amur region
CIA_29,"{'person': [], 'location': [], 'date': ['15 april, 2004'], 'organization': []}"
CIA_30,sourc track cesar arz santo domingo report may arz photograph park santo domingo compani carlo moral man identifi cuban name jose escalant known arz escalant receiv train togeth school medic technician havana cuba arz suspect associ cuban intellig see cia report februari addit inform avail carlo moral overheard speak fluent arab see cia report novemb sourc bueno air argentina report consider traffic forg birth certif among member islam commun argentina
CIA_30,"{'person': ['arze', 'jose escalante', 'arze', 'arze', 'carlos morales'], 'location': ['havana', 'cuba', 'argentina', 'argentina'], 'date': ['1 may, 2004', '1992 - 1993', '22 february', '2003', '15 november, 2003'], 'organization': ['cia', 'cia']}"
CIA_31,inform background bori bugarov provid inform gather time ago russian sourc bugarov born town saratov train biolog moscow state univers appear join vector institut around becam expert develop aerosol form biolog weapon believ bugarov work aerosol form smallpox pneumon plagu recent sourc say bugarov went cuba return moscow sometim report divorc wife return cuba howev still travel frequent europ middl east south america also known cuba activ biolog weapon program
CIA_31,"{'person': ['boris bugarov'], 'location': ['cuba', 'moscow', 'cuba', 'europe', 'the middle east', 'south america', 'cuba'], 'date': ['1950', 'around 1986', '1992', '1993'], 'organization': ['moscow state university', 'the vector institute']}"
CIA_32,inform provid mi regard muslih odeh see cia report septemb mi report record odeh british passport may saudi passport known employ freeport star hotel freeport bahama current surveil
CIA_32,"{'person': [], 'location': [], 'date': ['25 september', '2003'], 'organization': ['cia']}"
CIA_33,report issu respons fbi request inform regard abdul nasser ali known abdul ahm nasser ran chemic weapon train program afghanistan al khuldan camp khost area also see dia report februari recent translat record obtain comput hard disk reveal saudi name ali al omari student camp februari
CIA_33,"{'person': ['ali al-omari', 'al khuldan', 'ali al omari'], 'location': ['afghanistan'], 'date': ['1999 - 2001', '12 february, 2004', 'february of 2000'], 'organization': ['fbi', 'dia']}"
CIA_34,sourc moscow happen work direct pyotr safrygin central russia airlin say drove safrygin locat near strizhi septemb safrygin met man farm hous sourc say safrygin gave man bag probabl contain rubl receiv packag size four shoebox mark russian antibiot way back moscow sourc said safrygin told antibiot sold black market africa
CIA_34,"{'person': [], 'location': ['moscow', 'russia', 'strizhi', 'moscow', 'africa'], 'date': ['1 september'], 'organization': []}"
CIA_35,inform obtain center diseas control cdc learn case foot mouth diseas confirm vicin bucaramanga columbia cdc say case appear fmd type
CIA_35,"{'person': ['cdc'], 'location': ['bucaramanga', 'columbia'], 'date': [], 'organization': []}"
CIA_36,grigori sizov former soviet chemist teach univers usa ask could tell us bori bugarov work cuba sizov said knew bugarov person met visit sizov took moscow sizov said bugarov regard castro buffoon stay havana enjoy climat make much money former soviet union sizov also said bugarov show pictur attract cuban woman bugarov said plan marri sizov said bugarov told almost noth work cuba howev said free travel capabl assist help sort thing sizov said guess bugarov might still involv bw work might also involv distribut narcot final sizov said could help notic sever flashi diamond ring bugarov wear met
CIA_36,"{'person': ['grigory sizov', 'boris bugarov', 'sizov', 'castro', 'sizov'], 'location': ['cuba', 'moscow', 'havana', 'soviet union', 'cuba'], 'date': ['2002'], 'organization': []}"
CIA_37,cia report februari note pakistani intellig agre keep resid nishtar rd karachi surveil septemb report us event prompt raid resid septemb raid five person kill among two polic offic three other kill identifi abdul jabarah kuwaiti fahd jehani saudi ramzi al shibh yemeni known member al qaeda jehani seem courier sinc carri packet messag messag contain instruct insurg activ pakistan includ attempt made octob destroy polic hq karachi one messag address h chitral read allah prais provid fund need finish work fund way ten day messag sent person identifi moataz possibl alia sent gwadar pakistan
CIA_37,"{'person': ['al shibh', 'jehani'], 'location': ['kuwaiti', 'pakistan', 'pakistan'], 'date': ['13 february, 2004', '17 september, 2004', '5 september, 2004', '1 october, 2004', 'ten days'], 'organization': ['cia', 'karachi under surveillance', 'al qaeda']}"
CIA_38,mi provid addit inform malaysian name ali sufaat known sufaat live step nassau bahama also known sufaat work deck hand island freight line make regular run nassau santo domingo sufaat surveil sever contact omar hanif seashor hotel nassau
CIA_38,"{'person': ['ali sufaat', 'omar hanif'], 'location': [], 'date': [], 'organization': []}"
CIA_39,sourc employ holland orang ship line casablanca assign keep track activ abdellah atmani sourc say octob atmani visitor wear uniform first offic central russia airlin person gave atmani care wrap packag mark russian antibiot sourc say atmani told offic tell boss packag aboard dutch courag good time later day sourc say observ atmani place holland orang ship label packag address santo domingo dominican republ sourc could see street address packag would sent
CIA_39,"{'person': ['abdellah atmani', 'atmani'], 'location': ['russia'], 'date': ['5 october, 2004', 'later the same day'], 'organization': []}"
CIA_40,case offic american embassi riyadh say overheard convers embassi parti spanish ambassador saudi arabia american consular offici regard employ saudi foreign embassi convers spanish ambassador mention entir famili name al ghamdi work spanish embassi riyadh ambassador went say work embassi clerk time becom attach three al ghamdi son ad regret three boy watch grow left saudi arabia two kill fight al qaeda afghanistan third son ad never return saudi arabia last heard taken resid santo domingo cab driver
CIA_40,"{'person': ['al ghamdi'], 'location': ['riyadh', 'saudi arabia', 'riyadh', 'saudi arabia', 'afghanistan', 'saudi arabia'], 'date': ['1970 to 1988'], 'organization': ['al qaeda']}"
CIA_41,addit inform request novemb sourc report activ pyotr safrygin septemb see cia report septemb sourc ask recogn person farm hous safrygin receiv packag mark antibiot sourc said recogn person farm hous said later learn farm hous own scientist vector
CIA_41,"{'person': [], 'location': [], 'date': ['2 november, 2004', '1 september, 2004', '15 september, 2004'], 'organization': ['cia', 'the farm house']}"
CIA_42,sourc assign cover activ omar hanif report decemb follow hanif took ship call packet nassau freeport bahama hanif carri packag sourc said carri label thought russian could translat sourc follow hanif freeport star hotel hotel park lot gave packag person name muslih odeh also surveil sourc said odeh place packag trunk car immedi drove
CIA_42,"{'person': ['omar hanif', 'hanif'], 'location': ['bahamas'], 'date': ['1 december, 2004'], 'organization': []}"
CIA_43,receiv inform sourc follow omar hanif yesterday decemb hanif met two men depart cruis ship vike holiday sourc said hanif taken men resid appl nassau
CIA_43,"{'person': ['omar hanif', 'hanif', 'hanif'], 'location': [], 'date': ['yesterday', '15 december, 2004'], 'organization': []}"
